OBJECTID,Road_Intersect_X,Road_Intersect_Y
381,617808.9245,7893725.542
382,618057.6804,7893723.954
383,618094.8944,7893723.716
384,620077.2369,7894633.19
385,619657.716,7894590.556
386,619905.024,7894634.308
387,619913.4076,7894634.254
388,619535.6877,7894463.891
389,649823.4594,7890158.425
390,586985.8841,7889285.551
391,583861.8924,7889300.031
392,620121.2866,7893239.737
393,620574.6199,7894086.803
394,620576.8825,7894433.556
395,602874.3961,7886561.217
396,662725.6988,7887883.334
397,662737.9819,7891624.97
398,625109.9025,7884454.804
399,631761.1819,7887626.756
400,608735.1655,7884035.136
401,649886.0724,7887036.608
402,602751.9367,7886437.767
403,583166.5995,7882848.027
404,591617.3304,7878262.404
405,605278.2408,7878123.496
406,627017.0935,7879830.298
407,595904.8756,7872304.787
408,602394.6665,7867590.356
409,603637.0717,7866267.015
410,628270.92,7872491.908
411,627619.7981,7873028.769
412,666137.3955,7866813.48
413,667112.8069,7867822.061
414,586926.2487,7865506.08
415,587113.6495,7865589.822
416,629730.5711,7866437.896
417,626792.7665,7867566.34
418,633638.5357,7865151.355
419,650055.4498,7866866.52
420,650462.4332,7866430.766
421,651851.601,7864943.158
422,652577.8091,7867887.748
423,652772.2537,7867214.211
424,586629.1265,7863466.156
425,632521.9111,7864907.631
426,651854.149,7862998.575
427,587138.1918,7862500.096
428,666743.3927,7859218.356
429,614515.3656,7863023.679
430,635792.5542,7860398.574
431,608162.6203,7856068.766
432,607910.6579,7856144.442
433,609634.4242,7853197.237
434,661398.3711,7848821.073
435,616035.842,7847473.275
436,645754.399,7848213.726
437,653315.5206,7852206.815
438,653575.6217,7854981.702
439,653789.6149,7857689.209
440,664866.317,7845300.104
441,671769.2632,7840721.758
442,669577.5505,7840742.555
443,670201.3409,7840736.663
444,643571.5846,7840046.545
445,642961.4851,7840051.407
446,644489.2345,7843057.448
447,643328.917,7836781.773
448,644494.0364,7837271.993
449,673559.7882,7832474.246
450,675662.9478,7834650.425
451,676194.4454,7835200.259
452,676126.791,7835130.274
453,676254.1932,7835262.066
454,674014.7738,7832945.091
455,674247.9145,7833186.344
456,674695.471,7833649.45
457,674996.4494,7833960.866
458,674887.0832,7833847.709
459,674494.2501,7833441.242
460,675740.9729,7834731.145
461,675902.4325,7834898.178
462,675962.9139,7834960.746
463,677249.446,7832365.869
464,674901.252,7832036.144
465,675291.8736,7832385.133
466,634164.9612,7834149.798
467,633321.5999,7835509.164
468,634166.5712,7837328.753
469,634863.4461,7831025.811
470,669102.8183,7830599.036
471,674331.506,7828973.938
472,674332.7244,7829098.915
473,674333.6813,7829197.085
474,674337.6698,7829606.276
475,674346.863,7830549.718
476,674347.2294,7830587.329
477,675189.7622,7827355.566
478,674920.2053,7826577.178
479,674702.5323,7826351.878
