Point_ID,Tributary_X,Tributary_Y
646,670205.1322,7950506.635
649,698360.2861,7950233.917
651,478889.957,7952639.229
652,480211.7355,7950335.59
656,527703.6085,7950325.708
658,555847.4376,7950263.891
662,674595.7009,7949544.444
663,678994.5965,7949503.548
665,685615.5764,7951746.211
667,479333.2564,7949412.63
669,502198.5864,7949423.737
671,522865.3412,7949410.113
673,622251.0511,7949491.872
674,630604.1813,7948975.211
677,658312.7376,7948764.632
678,659632.2555,7948753.596
681,498240.9178,7951728.831
683,505715.9091,7948039.973
686,528580.3208,7948480.349
688,596296.677,7948257.827
689,597211.4725,7955169.202
692,607730.0791,7948196.44
693,607743.1432,7950501.784
695,697886.7242,7947010.041
697,704489.9001,7947401.369
699,708484.4164,7950586.948
701,563798.5041,7960842.644
702,565512.5428,7947466.83
703,570371.3781,7953442.98
706,673690.6378,7946785.523
709,704475.001,7946017.702
712,537370.7163,7946621.015
714,597166.723,7946409.114
715,597159.6403,7945025.936
717,537366.1759,7944315.92
719,670587.0376,7944046.481
720,673665.312,7944018.538
723,467902.855,7948013.717
724,472305.8069,7943871.498
727,516264.8137,7943884.75
728,522419.0871,7943878.47
730,528573.379,7943870.193
733,690802.4482,7942470.105
735,478461.1438,7942957.46
737,511868.3352,7942965.985
739,478462.7166,7941574.413
741,526372.2061,7941568.296
744,540878.0605,7942003.557
747,476266.1822,7940649.752
749,521096.7179,7940652.876
751,597577.9355,7940874.13
752,601534.0902,7940853.321
756,673631.493,7940329.214
757,467037.1042,7940174.906
759,482859.7616,7939734.841
761,509229.577,7940201.37
763,563300.2235,7943324.997
764,567245.1522,7940084.114
767,573886.5075,7952507.586
769,678459.2116,7939361.873
772,603282.3231,7938999.534
774,664822.1582,7938563.239
775,494287.0105,7938358.7
777,517578.018,7937890.372
780,540870.0923,7938315.376
781,601077.2642,7937628.211
783,660869.5918,7939058.46
785,695161.9845,7938735.66
787,490331.1546,7939740.136
789,500000,7938820.578
792,542623.8078,7936467.395
793,549672.8123,7943365.616
794,551412.377,7936445.511
796,556685.5594,7936430.417
800,671830.891,7935733.626
801,464409.6027,7935098.889
803,470121.6827,7935108.798
806,547894.6004,7935532.7
810,566349.9117,7935476.844
811,613526.4806,7961534.278
812,612930.1169,7935255.605
813,614248.4923,7935247.67
816,670943.4192,7934819.279
817,669653.806,7938059.305
821,510984.1076,7934207.221
823,532955.6597,7936025.721
824,533832.0049,7934641.1
827,564589.0875,7934560.866
830,568983.0508,7934545.31
831,570301.2454,7934540.444
834,611166.8563,7934343.884
837,486817.1364,7936971.917
838,489016.1609,7933746.204
840,561949.6939,7933647.636
843,581787.4295,7948786.874
844,590070.1104,7933534.276
845,590964.452,7936757.465
848,607646.1326,7933442.123
849,645947.8623,7942407.541
850,656863.2525,7933096.88
851,641609.6521,7950279.819
854,670926.702,7932974.622
855,676648.8267,7933844.305
857,485941.3697,7932822.125
860,491652.6921,7932825.52
863,560627.1305,7932268.813
865,639748.2395,7936459.492
866,642793.496,7932286.399
868,643672.3573,7932279.719
869,642385.3858,7936439.794
871,688937.341,7931880.237
873,505711.0357,7931904.468
875,525483.1789,7934193.204
876,527676.6317,7931885.002
878,570730.2642,7931772.546
879,604560.0464,7931615.142
882,610271.8037,7931582.571
885,490774.9307,7930981.037
887,507028.4512,7930520.967
890,529432.4479,7930960.293
893,546125.6905,7930926.799
895,554910.3696,7930442.192
897,580401.5995,7933116.925
898,580391.7619,7930811.673
900,670022.7417,7930215.589
901,485943.4344,7930056.011
903,522845.8602,7933274.543
904,525916.8378,7930043.415
907,548318.6378,7929538.199
909,578682.4937,7942345.269
910,579509.2277,7929893.304
913,616516.7263,7946761.298
914,632227.9168,7929596.721
917,500878.4702,7928678.183
919,535578.205,7928644.549
921,568521.8453,7928553.37
924,575112.5851,7928989.256
927,620403.9105,7935670.512
929,515813.252,7929593.596
930,518008.2176,7928208.56
932,521522.0271,7928204.866
934,522400.4804,7928203.84
937,543045.3279,7928628.94
938,545238.2218,7927240.696
941,562806.8985,7927190.191
944,669989.3934,7926526.269
945,689760.527,7926336.996
947,544357.62,7926320.73
949,571146.9228,7925777.31
952,584764.1949,7926181.847
953,620365.624,7929676.334
954,628687.8698,7925932.265
955,528544.7605,7924968.338
958,668215.5093,7924697.433
959,679198.1283,7924595.803
961,519321.6266,7924058.051
963,558406.0901,7924438.131
965,666104.495,7934401.301
966,667328.6958,7923782.961
969,555332.0147,7924447.447
972,588264.9226,7923399.3
973,582626.7128,7939562.131
976,591778.1661,7923382.438
977,618582.0991,7925537.677
980,664684.9752,7922883.964
981,671269.5448,7922363.778
983,560594.417,7922125.967
986,589138.8476,7922473.023
990,658527.7886,7922014.657
993,544346.7211,7921710.417
996,594403.8275,7921525.092
997,598399.3677,7929804.013
999,484194.5139,7920373.153
1001,556638.3304,7920755.211
1003,608024.5989,7922834.808
1004,611085.076,7920511.423
1008,596150.8266,7919671.883
1009,598363.147,7922887.977
1012,611079.6052,7919589.253
1014,658504.3743,7919247.761
1017,532485.9493,7918507.524
1018,537315.9071,7918959.546
1021,551802.2266,7918464.009
1023,579901.3964,7918826.162
1024,582974.6785,7918812.786
1027,605376.6723,7920544.411
1029,675183.9673,7918176.652
1031,513608.2647,7917608.73
1033,520192.9253,7917602.779
1035,690568.9748,7919410.029
1038,597014.6286,7916900.924
1039,545210.4022,7915714.876
1041,564085.1296,7915659.661
1043,593056.6636,7915537.807
1045,621190.7218,7921370.989
1046,639154.911,7915712.427
1048,655838.7362,7915580.716
1051,529847.5187,7915745.739
1052,531162.0221,7914360.498
1055,551790.7259,7914314.665
1057,580320.6187,7914213.71
1059,635190.2535,7913896.969
1062,654945.3116,7913743.435
1063,539938.1742,7913421.713
1066,598751.1673,7913203.133
1067,600524.2448,7916421.292
1070,647913.8379,7912878.149
1073,683473.7035,7912562.326
1075,607982.0262,7915457.492
1076,611035.7549,7912211.861
1079,620253.0952,7912154.702
1080,624203.4514,7912128.811
1081,622023.8797,7914448.803
1084,655807.9379,7911891.532
1085,657124.8605,7911880.482
1087,530278.9734,7911134.726
1089,537300.2492,7911121.996
1091,581184.4325,7910982.495
1093,625551.2493,7916731.043
1094,636486.9732,7911120.663
1096,642631.9723,7911074.653
1098,656678.1345,7910961.875
1099,586887.4381,7910495.704
1102,644380.5619,7910138.871
1103,644405.5589,7913366.792
1106,646136.22,7910125.182
1110,658426.1094,7910024.725
1111,573279.6402,7909632.069
1114,603997.7191,7909485.861
1117,652708.6825,7908688.94
1120,660173.9178,7909087.399
1121,672949.7837,7914046.506
1124,639977.593,7908327.863
1127,643046.11,7907843.374
1130,662799.352,7908142.237
1131,678161.1782,7908001.525
1133,554848.2004,7909234.427
1134,554844.1247,7907851.296
1138,609253.0473,7907611.355
1139,647427.4027,7906886.845
1144,610125.1989,7906684.001
1145,547380.4934,7906027.627
1146,549574.0732,7906021.906
1149,636446.4028,7905587.2
1151,657505.2948,7904959.483
1154,663652.7985,7905367.556
1155,538603.3485,7904664.81
1157,565364.7717,7905050.972
1158,571506.6468,7905028.348
1161,596070.0173,7903995.393
1163,607912.5349,7903469.246
1165,627228.6984,7905191.45
1167,652224.4713,7903158.785
1169,546499.6017,7904646.721
1170,547812.0881,7903260.255
1173,566672.6051,7902741.032
1175,547808.5243,7901877.127
1177,560968.6664,7902299.594
1179,634222.4355,7901453.088
1181,552632.0221,7901403.019
1183,578952.9526,7902231.776
1184,582019.415,7901296.325
1185,586848.6615,7902196.495
1186,588160.241,7901268.147
1190,613601.6354,7901129.74
1191,684274.1669,7904713.288
1195,595171.3151,7899850.221
1197,560959.57,7899533.291
1199,601752.9884,7900276.347
1200,609198.779,7898389.542
1203,569722.3405,7897197.067
1206,620596.2023,7897396.569
1207,618903.9329,7907091.06
1209,659631.8656,7897101.042
1210,663579.566,7897066.57
1214,622344.4207,7896462.838
1215,642080.0865,7896321.787
1216,646027.3591,7896291.048
1217,549987.9277,7896799.851
1218,555685.6512,7895861.471
1221,606112.8126,7895640.853
1224,624092.4697,7895528.931
1225,622810.4972,7900609.908
1227,632437.9992,7897315.62
1228,634617.5447,7895455.299
1231,551736.7637,7894950.839
1232,554805.9589,7894941.993
1235,576729.1465,7894863.984
1237,620578.1637,7894629.929
1239,571902.396,7893961.256
1241,633727.096,7893617.167
1244,663546.9285,7893377.222
1245,683328.0637,7897803.968
1247,558744.752,7892624.609
1249,635909.4535,7892217.781
1251,552603.1673,7891259.971
1252,553918.2739,7891256.174
1255,584183.2019,7894831.536
1256,590742.2654,7891111.795
1257,596015.0204,7893390.577
1258,596003.0291,7891085.168
1260,630199.5465,7890875.506
1262,632830.1742,7890856.751
1266,650368.2228,7890722.125
1267,552599.2221,7889876.82
1269,574077.9698,7889803.024
1273,605204.2463,7890112.775
1275,628874.5718,7889501.383
1277,648168.5039,7889817.573
1279,583281.2795,7889302.664
1281,617470.4247,7888655.334
1284,602991.6953,7886436.427
1286,663481.4882,7885998.491
1287,673577.302,7887289.723
1289,623589.0312,7885848.499
1292,659081.8355,7884192.25
1293,655241.7267,7896677.202
1296,663465.0936,7884153.8
1297,580622.9298,7882859.367
1298,582813.8778,7882849.621
1299,579330.236,7887936.862
1302,609100.5164,7881790.076
1303,641980.6233,7883409.93
1304,650292.881,7881499.094
1305,643762.5615,7887085.44
1308,660810.9094,7881409.98
1311,677505.3417,7885407.323
1313,567470.6331,7881068.105
1314,568785.0407,7881063.226
1315,565737.8802,7886607.196
1318,660802.8288,7880487.639
1319,591137.2735,7882349.119
1320,594192.7558,7880028.217
1323,606906.8743,7881341.867
1325,615676.3612,7882210.95
1326,618722.9616,7878963.593
1327,680957.924,7879838.704
1328,680944.272,7878455.088
1329,687262.3148,7896380.824
1334,650262.6556,7877809.86
1336,575780.0138,7877347.051
1337,572730.1063,7881509.09
1340,613453.9352,7877152.458
1341,639329.9851,7880663.234
1343,675667.931,7876661.449
1347,601625.7538,7877221.898
1348,608191.4769,7876262.061
1351,656846.8931,7879138.283
1352,659009.874,7875891.231
1357,676960.1582,7874342.796
1359,605114.4783,7874435.53
1361,646278.7343,7872769.117
1362,649348.7142,7873205.477
1366,581016.2547,7872713.789
1367,581026.4692,7875019.173
1370,639697.8019,7871437.09
1371,635773.0782,7873772.495
1373,594599.926,7874031.828
1374,601146.8581,7869846.799
1376,640552.4679,7868663.503
1377,598944.8675,7867553.327
1380,649303.4518,7867671.594
1382,585369.8511,7867160.864
1383,585389.2718,7871310.606
1386,662432.8408,7866636.913
1387,665114.5344,7872608.669
1390,607255.7648,7866122.959
1391,608145.0748,7868423.308
1393,621746.9873,7872487.836
1394,636152.6202,7865929.885
1397,647099.0151,7865844.772
1398,648412.6076,7865834.117
1404,663300.3903,7865706.724
1405,671633.4041,7867013.812
1408,587112.3023,7865308.235
1409,588883.637,7869449.55
1411,623467.74,7867864.862
1412,632643.1322,7865033.46
1416,652775.8095,7863953.254
1417,654178.8941,7874548.968
1419,584039.3737,7863478.305
1420,587103.4745,7863463.891
1424,652768.0644,7863030.924
1425,619952.5974,7866043.772
1427,650567.5916,7861665.691
1430,594092.8795,7860662.445
1431,594109.5863,7863890.099
1434,664117.8833,7859242.28
1435,667619.7687,7859210.285
1437,673345.6218,7862846.449
1440,594958.5723,7858813.508
1441,633033.6957,7858574.336
1442,634353.5251,7859486.944
1443,675927.9861,7858209.177
1445,591890.5317,7857907.092
1446,593203.3355,7857900.395
1450,627337.5996,7857692.889
1453,605896.6503,7858291.856
1454,607201.3506,7856900.82
1456,601069.9509,7856013.802
1459,600189.723,7855096.456
1461,641758.2967,7854818.838
1462,645681.7793,7852942.952
1465,589235.3977,7851926.003
1468,618548.7317,7852218.75
1471,594917.4849,7850974.851
1473,669747.9888,7852733.204
1474,666667.905,7850916.908
1475,599286.8006,7850029.145
1477,608492.0349,7853204.121
1479,672767.0172,7848092.176
1481,674548.1253,7851303.792
1483,674954.4219,7848071.111
1485,660084.5053,7848670.307
1486,661384.5497,7847275.069
1489,614582.0621,7847632.924
1490,619381.0367,7845757.227
1492,651745.5363,7845513.882
1495,628594.8164,7849844.32
1496,641241.3732,7844676.861
1497,635611.3745,7852098.877
1499,616304.7995,7843471.613
1502,665708.0717,7841701.088
1504,632467.4876,7841054.127
1506,650832.1472,7840909.511
1508,663075.8568,7840802.676
1511,677529.3716,7842972.13
1513,630711.8213,7840144.633
1516,635084.0202,7840112.317
1518,644703.0568,7840037.474
1522,646452.0031,7840023.313
1525,624147.2542,7839268.842
1527,646444.4887,7839100.981
1529,649478.1357,7835847.578
1532,660402.7338,7835292.011
1535,666527.1207,7835697.439
1536,666497.1345,7832469.039
1537,642010.2804,7831296.324
1539,662117.9422,7831586.745
1541,676582.1339,7835601.294
1542,674355.8438,7831471.753
1543,677424.5446,7832364.136
1545,624112.1745,7834196.329
1546,627148.7133,7830946.883
1548,628022.6904,7830940.653
1553,626258.4621,7828647.355
1555,662525.6698,7828354.415
1557,634976.2738,7825816.565
1560,671680.2394,7825962.566
1562,673419.0358,7825023.245
1565,628846.7758,7824017.165
1568,674283.8634,7824092.297
1569,670766.6196,7821820.043
